filename,post_title,vimeo_id,youtube_id,youtube_title,youtube_url,confirmed
2015-07-06-michel-homm.md,Michel Homm,82116127,lbSOLBMUvIE,Michael Bublé - Home [Official Music Video],https://www.youtube.com/watch?v=lbSOLBMUvIE,YES
2015-07-06-rone-bye-bye-macadam.md,"Rone - \""Bye Bye Macadam\",56555095,kfoJUeyMsOE,Rone - Bye Bye Macadam (Official Video),https://www.youtube.com/watch?v=kfoJUeyMsOE,YES
2015-07-06-sebastien-tellier-look.md,Sebastien Tellier - Look,10061302,8jL0vy2YaDg,Sébastien Tellier - Look (Official Video),https://www.youtube.com/watch?v=8jL0vy2YaDg,YES
2015-07-06-the-good-the-bad-030-uncut.md,The Good The Bad - 030 (UNCUT),75137934,jKcSatYPSx8,The Making Of Good To Be Bad [Uncut Uncensored],https://www.youtube.com/watch?v=jKcSatYPSx8,YES
2015-09-14-apashe-kannibalen.md,Apashe - Kannibalen,120656061,SxdXhJAeGZo,Apashe - Kannibalen | Official Video,https://www.youtube.com/watch?v=SxdXhJAeGZo,YES
2015-09-14-dizzee-rascal-bassline-junkie.md,Dizzee Rascal - Bassline Junkie,60016130,D1gl46hh3sQ,Dizzee Rascal - Bassline Junkie (Explicit),https://www.youtube.com/watch?v=D1gl46hh3sQ,YES
2015-09-14-gesaffelstein-hate-or-glory.md,Gesaffelstein | Hate or Glory,75029458,m7YSNbq2KcQ,"Gesaffelstein - ""Hate or Glory"" (Official Music Video)",https://www.youtube.com/watch?v=m7YSNbq2KcQ,YES
2015-09-14-jackson-his-computer-band-g-i-jane.md,Jackson & His Computer Band | G.I. Jane,78625666,,,,NO
2015-09-14-koudlam-ft-scratch-massive-waiting-for-a-sign.md,Koudlam ft Scratch Massive - Waiting for a Sign,57458385,uQ52WfZfa5I,"Scratch Massive ft. Koudlam - ""Waiting for a Sign"" (Official Video)",https://www.youtube.com/watch?v=uQ52WfZfa5I,YES
2015-09-14-skrillex-doompy-poomp-by-fleur-manu.md,Skrillex - Doompy Poomp by Fleur & Manu,138782141,7eodQplrKrU,Fleur & Manu x Skrillex - Doompy Poomp,https://www.youtube.com/watch?v=7eodQplrKrU,YES
2015-09-14-sveriges-radio-decisive-moments-dir-cut.md,Sveriges Radio – Decisive Moments (Dir. Cut),136803672,MslDnwerQRA,Idina Menzel - Defying Gravity (from LIVE: Barefoot at the Symphony),https://www.youtube.com/watch?v=MslDnwerQRA,YES
2015-09-29-alb-the-road.md,ALB - THE ROAD,123538098,vZHtjv4oJw8,ALB - The Road (Clip officiel),https://www.youtube.com/watch?v=vZHtjv4oJw8,YES
2015-10-13-de-staat-witch-doctor.md,De Staat - Witch Doctor,140161428,0ttGgIQpAUc,De Staat - Witch Doctor (official video),https://www.youtube.com/watch?v=0ttGgIQpAUc,YES
2015-10-13-jackal-carbomb.md,Jackal: Carbomb,142132713,m6z5mo4VQ5M,Jackal: Carbomb (Official Video),https://www.youtube.com/watch?v=m6z5mo4VQ5M,YES
